Months,Observed_State,Explained_State,State_Name,Feature,Feature_Value,SHAP_Value
2003-03-01,1,1,Diatom-associated early-year state,PO4,0.03192817,0.044412157939358904
2003-03-01,1,1,Diatom-associated early-year state,SPCo2,25.29116,0.1820615452680649
2003-03-01,1,1,Diatom-associated early-year state,MLD,26.85569,-0.12034666278324894
2003-03-01,1,1,Diatom-associated early-year state,SSS,32.66323,1.053518938782571
2003-03-01,1,1,Diatom-associated early-year state,SSH,0.1915937,0.7410920780540645
2003-03-01,1,1,Diatom-associated early-year state,PAR,31.66549,-0.04089801072735449
2003-03-01,1,1,Diatom-associated early-year state,PDO,1.01,0.20403860373003324
2003-03-01,1,1,Diatom-associated early-year state,NINO_3.4,0.48,-0.1974280668472719
2003-03-01,1,1,Diatom-associated early-year state,WPI,-1.01,0.1606385489843763
2003-03-01,1,1,Diatom-associated early-year state,MHW_MeanInt,0.0046435915267579,0.049355044154502724
2003-03-01,1,1,Diatom-associated early-year state,MHW_MaxInt,0.0054977391704626,0.12298772705637262
2003-03-01,1,1,Diatom-associated early-year state,MHW_CumInt,0.0232179576337899,0.02215076255467352
2003-04-01,1,1,Diatom-associated early-year state,SST,11.75001,1.4918466494634033
2003-04-01,1,1,Diatom-associated early-year state,NO3,2.553677,0.19065817411359492
2003-04-01,1,1,Diatom-associated early-year state,PO4,0.01375037,0.1685370485330751
2003-04-01,1,1,Diatom-associated early-year state,SPCo2,29.56994,0.2877133379561293
2003-04-01,1,1,Diatom-associated early-year state,MLD,12.03047,-0.04235185992950813
2003-04-01,1,1,Diatom-associated early-year state,SSS,32.55077,0.8244349686411184
2003-04-01,1,1,Diatom-associated early-year state,SSH,0.1350424,0.9770172587009286
2003-04-01,1,1,Diatom-associated early-year state,PAR,38.72302,0.2792840047949332
2003-04-01,1,1,Diatom-associated early-year state,PDO,0.36,0.49252337159819765
2003-04-01,1,1,Diatom-associated early-year state,NINO_3.4,-0.03,0.10484712345166675
2003-04-01,1,1,Diatom-associated early-year state,WPI,1.58,-0.03737729391454925
2003-04-01,1,1,Diatom-associated early-year state,MHW_MeanInt,0.2725131959791815,0.021119841334655477
2003-04-01,1,1,Diatom-associated early-year state,MHW_MaxInt,0.306854244801655,0.032650741227808665
2003-04-01,1,1,Diatom-associated early-year state,MHW_CumInt,1.8472360378628687,0.08585572083776499
2003-05-01,2,1,Diatom-associated early-year state,SST,16.08669,0.43622667347379507
2003-05-01,2,1,Diatom-associated early-year state,NO3,3.514215,-0.05465256228852598
2003-05-01,2,1,Diatom-associated early-year state,PO4,0.01084706,-0.07741192513797562
2003-05-01,2,1,Diatom-associated early-year state,SPCo2,34.8829,-6.131458327411984e-05
2003-05-01,2,1,Diatom-associated early-year state,MLD,10.88174,0.2554981818310912
2003-05-01,2,1,Diatom-associated early-year state,SSS,32.30488,0.39198950932437954
2003-05-01,2,1,Diatom-associated early-year state,SSH,0.2281191,0.019425612094194345
2003-05-01,2,1,Diatom-associated early-year state,PAR,44.47189,0.17718069259518268
2003-05-01,2,1,Diatom-associated early-year state,PDO,0.21,0.20844236702492752
2003-05-01,2,1,Diatom-associated early-year state,NINO_3.4,-0.52,-0.13080266075140046
2003-05-01,2,1,Diatom-associated early-year state,WPI,0.03,-0.025518724408538
2003-05-01,2,1,Diatom-associated early-year state,MHW_MeanInt,0.0215705614341163,-0.01990305720564122
2003-05-01,2,1,Diatom-associated early-year state,MHW_MaxInt,0.0238242966565038,-0.01656638936979743
2003-05-01,2,1,Diatom-associated early-year state,MHW_CumInt,0.1439373695860644,0.079603020868428
2003-06-01,2,1,Diatom-associated early-year state,SST,19.74573,-0.6873906442580962
2003-06-01,2,1,Diatom-associated early-year state,NO3,4.782942,-0.18845537503308327
2003-06-01,2,1,Diatom-associated early-year state,PO4,0.01973093,0.021543327453183735
2003-06-01,2,1,Diatom-associated early-year state,SPCo2,39.29079,-0.2118930909171788
2003-06-01,2,1,Diatom-associated early-year state,MLD,10.70942,0.9429029785496744
2003-06-01,2,1,Diatom-associated early-year state,SSS,31.93707,-0.46596924277730106
2003-06-01,2,1,Diatom-associated early-year state,SSH,0.2159175,0.39152333190738475
2003-06-01,2,1,Diatom-associated early-year state,PAR,43.89837,0.21682148597402037
2003-06-01,2,1,Diatom-associated early-year state,PDO,-0.42,0.022198438734637078
2003-06-01,2,1,Diatom-associated early-year state,NINO_3.4,-0.19,-0.01812525818486452
2003-06-01,2,1,Diatom-associated early-year state,WPI,0.76,0.03371959943332121
2003-06-01,2,1,Diatom-associated early-year state,MHW_MeanInt,0.086527782011138,-0.043310073754943675
2003-06-01,2,1,Diatom-associated early-year state,MHW_MaxInt,0.095358425735349,-0.016033801095928397
2003-06-01,2,1,Diatom-associated early-year state,MHW_CumInt,0.6060330550069817,-0.044417609104793504
2003-07-01,2,1,Diatom-associated early-year state,SST,23.4168,-0.7251772198211469
2003-07-01,2,1,Diatom-associated early-year state,NO3,6.44504,-0.20160709011924474
2003-07-01,2,1,Diatom-associated early-year state,PO4,0.0197171,0.004180328731934716
2003-07-01,2,1,Diatom-associated early-year state,SPCo2,41.09243,-0.2475372957797178
2003-07-01,2,1,Diatom-associated early-year state,MLD,10.28391,0.9910069798804181
2003-07-01,2,1,Diatom-associated early-year state,SSS,31.59149,-0.4821951347546422
2003-07-01,2,1,Diatom-associated early-year state,SSH,0.2527651,-0.09482776230841262
2003-07-01,2,1,Diatom-associated early-year state,PAR,43.4742,0.10050529684985311
2003-07-01,2,1,Diatom-associated early-year state,PDO,0.37,0.20584731498318118
2003-07-01,2,1,Diatom-associated early-year state,NINO_3.4,0.14,-0.063637591969517
2003-07-01,2,1,Diatom-associated early-year state,WPI,-1.94,0.027579728666228764
2003-07-01,2,1,Diatom-associated early-year state,MHW_MeanInt,0.1200739796195724,-0.04288772668622925
2003-07-01,2,1,Diatom-associated early-year state,MHW_MaxInt,0.1350950391818477,-0.027729013150456887
2003-07-01,2,1,Diatom-associated early-year state,MHW_CumInt,0.7938286167281388,-0.08346428283210985
2003-08-01,3,1,Diatom-associated early-year state,SST,26.00336,-0.9934887306082956
2003-08-01,3,1,Diatom-associated early-year state,NO3,6.747303,-0.47976497082949054
2003-08-01,3,1,Diatom-associated early-year state,PO4,0.01895659,-0.0767220839266227
2003-08-01,3,1,Diatom-associated early-year state,SPCo2,41.42951,-0.35048789726159496
2003-08-01,3,1,Diatom-associated early-year state,MLD,10.77536,0.3895853278128205
2003-08-01,3,1,Diatom-associated early-year state,SSS,31.44741,-0.6484053147832848
2003-08-01,3,1,Diatom-associated early-year state,SSH,0.3014184,-0.45066930898010493
2003-08-01,3,1,Diatom-associated early-year state,PAR,42.03368,-0.44186993169636013
2003-08-01,3,1,Diatom-associated early-year state,PDO,0.63,0.12310254694717185
2003-08-01,3,1,Diatom-associated early-year state,NINO_3.4,0.05,-0.1532855581323809
2003-08-01,3,1,Diatom-associated early-year state,WPI,-0.9,-0.11279728121415221
2003-08-01,3,1,Diatom-associated early-year state,MHW_MeanInt,0.3628347578339257,-0.045676966863332724
2003-08-01,3,1,Diatom-associated early-year state,MHW_MaxInt,0.411082859812034,-0.06912838559882109
2003-08-01,3,1,Diatom-associated early-year state,MHW_CumInt,2.2605519257653826,-0.18937686355752004
2003-09-01,3,1,Diatom-associated early-year state,SST,24.95572,-1.3612632715131636
2003-09-01,3,1,Diatom-associated early-year state,NO3,5.868157,-0.4108496282011346
2003-09-01,3,1,Diatom-associated early-year state,PO4,0.01896781,-0.07093688237852491
2003-09-01,3,1,Diatom-associated early-year state,SPCo2,38.03652,-0.29579592455974546
2003-09-01,3,1,Diatom-associated early-year state,MLD,13.07886,-0.7952570284041576
2003-09-01,3,1,Diatom-associated early-year state,SSS,31.56733,-0.8002893176202113
2003-09-01,3,1,Diatom-associated early-year state,SSH,0.3381976,-0.5534903432668827
2003-09-01,3,1,Diatom-associated early-year state,PAR,37.95425,-0.36709006856895987
2003-09-01,3,1,Diatom-associated early-year state,PDO,-0.17,0.10670792951424705
2003-09-01,3,1,Diatom-associated early-year state,NINO_3.4,0.15,-0.17285414015220169
2003-09-01,3,1,Diatom-associated early-year state,WPI,-2.17,0.024052034085742958
2003-09-01,3,1,Diatom-associated early-year state,MHW_MeanInt,0.0317860579222881,-0.06451595800982068
2003-09-01,3,1,Diatom-associated early-year state,MHW_MaxInt,0.0346954744085692,-0.05482664545443807
2003-09-01,3,1,Diatom-associated early-year state,MHW_CumInt,0.25940113727433,-0.1301437759364178
2003-10-01,3,1,Diatom-associated early-year state,SST,21.49835,-1.378404429171272
2003-10-01,3,1,Diatom-associated early-year state,NO3,4.553604,-0.4391013851673956
2003-10-01,3,1,Diatom-associated early-year state,PO4,0.01595329,-0.06955628320734034
2003-10-01,3,1,Diatom-associated early-year state,SPCo2,32.8923,-0.20809250876001248
2003-10-01,3,1,Diatom-associated early-year state,MLD,22.12526,-0.8499296112933621
2003-10-01,3,1,Diatom-associated early-year state,SSS,31.88859,-0.792038311904187
2003-10-01,3,1,Diatom-associated early-year state,SSH,0.3535486,-0.5226440327717132
2003-10-01,3,1,Diatom-associated early-year state,PAR,30.67915,-0.47709790283306014
2003-10-01,3,1,Diatom-associated early-year state,PDO,0.74,0.287886917497509
2003-10-01,3,1,Diatom-associated early-year state,NINO_3.4,0.46,-0.30893021723333314
2003-10-01,3,1,Diatom-associated early-year state,WPI,-0.42,-0.04267671497490184
2003-10-01,3,1,Diatom-associated early-year state,MHW_MeanInt,0.0291644833871338,-0.07487059498043049
2003-10-01,3,1,Diatom-associated early-year state,MHW_MaxInt,0.0317398388561604,-0.07469842361113263
2003-10-01,3,1,Diatom-associated early-year state,MHW_CumInt,0.176513936748717,-0.16589743483924407
2003-11-01,3,1,Diatom-associated early-year state,SST,18.29269,-1.4564025459445349
2003-11-01,3,1,Diatom-associated early-year state,NO3,3.699384,-0.412963085468206
2003-11-01,3,1,Diatom-associated early-year state,PO4,0.02276026,-0.043622704536203497
2003-11-01,3,1,Diatom-associated early-year state,SPCo2,29.37968,0.01391673579446288
2003-11-01,3,1,Diatom-associated early-year state,MLD,25.82172,-0.5978209655486559
2003-11-01,3,1,Diatom-associated early-year state,SSS,32.146,-0.6506735125475437
2003-11-01,3,1,Diatom-associated early-year state,SSH,0.3094546,-0.41046223801472853
2003-11-01,3,1,Diatom-associated early-year state,PAR,19.52595,-0.14393369630114825
2003-11-01,3,1,Diatom-associated early-year state,PDO,-0.23,0.14744339415262891
2003-11-01,3,1,Diatom-associated early-year state,NINO_3.4,0.39,-0.4620694322430171
2003-11-01,3,1,Diatom-associated early-year state,WPI,0.69,0.004601815818773889
2003-11-01,3,1,Diatom-associated early-year state,MHW_MeanInt,0.0347127636809647,-0.09405947703362924
2003-11-01,3,1,Diatom-associated early-year state,MHW_MaxInt,0.0410262867207363,-0.11807159975853222
2003-11-01,3,1,Diatom-associated early-year state,MHW_CumInt,0.2889259208268783,-0.2790935101725592
2003-12-01,3,1,Diatom-associated early-year state,SST,14.18948,0.9926408292302403
2003-12-01,3,1,Diatom-associated early-year state,NO3,2.481625,-0.01792342618351814
2003-12-01,3,1,Diatom-associated early-year state,PO4,0.03871807,-0.14352669315581765
2003-12-01,3,1,Diatom-associated early-year state,SPCo2,26.20514,-0.1388884059821568
2003-12-01,3,1,Diatom-associated early-year state,MLD,37.02884,-0.3776051209266555
2003-12-01,3,1,Diatom-associated early-year state,SSS,32.3822,-0.07173937993749968
2003-12-01,3,1,Diatom-associated early-year state,SSH,0.1997933,0.21667533823326326
2003-12-01,3,1,Diatom-associated early-year state,PAR,17.37022,-0.431934768689404
2003-12-01,3,1,Diatom-associated early-year state,PDO,-0.6,-0.028543956171856656
2003-12-01,3,1,Diatom-associated early-year state,NINO_3.4,0.32,-0.5277497919635439
2003-12-01,3,1,Diatom-associated early-year state,WPI,0.8,-0.24485489505846658
2003-12-01,3,1,Diatom-associated early-year state,MHW_MeanInt,0.0305836895785291,-0.11653859559014898
2003-12-01,3,1,Diatom-associated early-year state,MHW_MaxInt,0.0357636532173325,-0.1719478425295908
2003-12-01,3,1,Diatom-associated early-year state,MHW_CumInt,0.1671471642657015,-0.41894072321112125
2004-01-01,1,1,Diatom-associated early-year state,SST,10.96138,1.2034227380982054
2004-01-01,1,1,Diatom-associated early-year state,NO3,2.073107,0.47383034595335644
2004-01-01,1,1,Diatom-associated early-year state,PO4,0.05104483,0.09411487460769791
2004-01-01,1,1,Diatom-associated early-year state,SPCo2,24.43506,1.3766778067458916
2004-01-01,1,1,Diatom-associated early-year state,MLD,41.40466,-0.02095448306406602
2004-01-01,1,1,Diatom-associated early-year state,SSS,32.54317,0.7409285089385552
2004-01-01,1,1,Diatom-associated early-year state,SSH,0.2006977,0.34769348037822156
2004-01-01,1,1,Diatom-associated early-year state,PAR,18.0528,-0.0524170497203911
2004-01-01,1,1,Diatom-associated early-year state,PDO,-0.55,0.23731422555512674
2004-01-01,1,1,Diatom-associated early-year state,NINO_3.4,0.26,-0.1316741747124928
2004-01-01,1,1,Diatom-associated early-year state,WPI,-1.58,0.19674774433227038
2004-01-01,1,1,Diatom-associated early-year state,MHW_MeanInt,0.0896650927657766,-0.06463975212801537
2004-01-01,1,1,Diatom-associated early-year state,MHW_MaxInt,0.1065944246269022,-0.04568380746343868
2004-01-01,1,1,Diatom-associated early-year state,MHW_CumInt,0.7076375976351985,-0.09498910582787946
2004-02-01,1,1,Diatom-associated early-year state,SST,9.451482,1.2018475144399725
2004-02-01,1,1,Diatom-associated early-year state,NO3,1.997658,0.47305362997901207
2004-02-01,1,1,Diatom-associated early-year state,PO4,0.04368897,0.0921962204568396
2004-02-01,1,1,Diatom-associated early-year state,SPCo2,24.0791,1.2653255565818395
2004-02-01,1,1,Diatom-associated early-year state,MLD,32.8154,-0.09576128092938777
2004-02-01,1,1,Diatom-associated early-year state,SSS,32.65039,0.9436039688155109
2004-02-01,1,1,Diatom-associated early-year state,SSH,0.1383744,0.6689059237034772
2004-02-01,1,1,Diatom-associated early-year state,PAR,27.39863,-0.05617161324189895
2004-02-01,1,1,Diatom-associated early-year state,PDO,-0.21,0.4989840849696552
2004-02-01,1,1,Diatom-associated early-year state,NINO_3.4,0.17,-0.09124708812059736
2004-02-01,1,1,Diatom-associated early-year state,WPI,0.6,-0.17203538950625433
2004-02-01,1,1,Diatom-associated early-year state,MHW_MeanInt,0.0144829530394947,-0.05518898583054448
2004-02-01,1,1,Diatom-associated early-year state,MHW_MaxInt,0.0161240420251843,0.054055352720317945
2004-02-01,1,1,Diatom-associated early-year state,MHW_CumInt,0.0798289664429455,-0.04484310458970927
2004-03-01,1,1,Diatom-associated early-year state,SST,9.93364,1.2951891372622795
2004-03-01,1,1,Diatom-associated early-year state,NO3,1.945145,0.5074561710840897
2004-03-01,1,1,Diatom-associated early-year state,PO4,0.02656696,0.07633927312513841
2004-03-01,1,1,Diatom-associated early-year state,SPCo2,25.9697,0.25264870427049774
2004-03-01,1,1,Diatom-associated early-year state,MLD,22.75871,-0.21925124343991778
2004-03-01,1,1,Diatom-associated early-year state,SSS,32.66227,1.138818577824692
2004-03-01,1,1,Diatom-associated early-year state,SSH,0.1673723,0.7898555954884773
2004-03-01,1,1,Diatom-associated early-year state,PAR,33.84466,-0.07630295732776625
2004-03-01,1,1,Diatom-associated early-year state,PDO,-0.15,0.4813395779039713
2004-03-01,1,1,Diatom-associated early-year state,NINO_3.4,-0.1,-0.17438453949641086
2004-03-01,1,1,Diatom-associated early-year state,WPI,0.13,0.07590578483681865
2004-03-01,1,1,Diatom-associated early-year state,MHW_MeanInt,0.0889921173083223,-0.02291462201900812
2004-03-01,1,1,Diatom-associated early-year state,MHW_MaxInt,0.0987277079031283,-0.01618429934737057
2004-03-01,1,1,Diatom-associated early-year state,MHW_CumInt,0.5079852691607409,0.004598544925848462
2004-04-01,1,1,Diatom-associated early-year state,SST,12.11376,1.4878316017331639
2004-04-01,1,1,Diatom-associated early-year state,NO3,2.413163,0.2840175207018849
2004-04-01,1,1,Diatom-associated early-year state,PO4,0.01413774,0.17490176656369938
2004-04-01,1,1,Diatom-associated early-year state,SPCo2,29.96865,0.3200771295235465
2004-04-01,1,1,Diatom-associated early-year state,MLD,13.00257,-0.03300902755231184
2004-04-01,1,1,Diatom-associated early-year state,SSS,32.58536,0.8700762725948987
2004-04-01,1,1,Diatom-associated early-year state,SSH,0.1543983,0.9822421803390075
2004-04-01,1,1,Diatom-associated early-year state,PAR,42.58654,0.3235472171062884
2004-04-01,1,1,Diatom-associated early-year state,PDO,0.0,0.47316330415957947
2004-04-01,1,1,Diatom-associated early-year state,NINO_3.4,0.06,0.08172978704992195
2004-04-01,1,1,Diatom-associated early-year state,WPI,0.49,-0.023677348038955447
2004-04-01,1,1,Diatom-associated early-year state,MHW_MeanInt,0.1521171883776541,0.01532052589765582
2004-04-01,1,1,Diatom-associated early-year state,MHW_MaxInt,0.1748654234978583,0.01726272939506993
2004-04-01,1,1,Diatom-associated early-year state,MHW_CumInt,0.904777400033762,0.14020878356315258
2004-05-01,1,1,Diatom-associated early-year state,SST,16.42801,0.125422994434194
2004-05-01,1,1,Diatom-associated early-year state,NO3,3.841927,-0.05139885600692617
2004-05-01,1,1,Diatom-associated early-year state,PO4,0.01084378,0.43948523004023976
2004-05-01,1,1,Diatom-associated early-year state,SPCo2,34.93535,0.13067459570536674
2004-05-01,1,1,Diatom-associated early-year state,MLD,10.60486,0.7102403589437966
2004-05-01,1,1,Diatom-associated early-year state,SSS,32.29169,0.45179526449694657
2004-05-01,1,1,Diatom-associated early-year state,SSH,0.2026526,0.6633790457318014
2004-05-01,1,1,Diatom-associated early-year state,PAR,43.02498,0.3248082366435701
2004-05-01,1,1,Diatom-associated early-year state,PDO,0.61,0.4021066661076968
2004-05-01,1,1,Diatom-associated early-year state,NINO_3.4,0.1,0.16426866115155928
2004-05-01,1,1,Diatom-associated early-year state,WPI,0.4,0.09909410432461706
2004-05-01,1,1,Diatom-associated early-year state,MHW_MeanInt,0.4103467719988746,0.10222167693620675
2004-05-01,1,1,Diatom-associated early-year state,MHW_MaxInt,0.4672688396756965,0.09485410092230229
2004-05-01,1,1,Diatom-associated early-year state,MHW_CumInt,2.5824005545023456,0.1695674927919656
2004-06-01,2,1,Diatom-associated early-year state,SST,20.89214,-0.6980183151335698
2004-06-01,2,1,Diatom-associated early-year state,NO3,4.724819,-0.16676970626062154
2004-06-01,2,1,Diatom-associated early-year state,PO4,0.01717499,0.028098255839130164
2004-06-01,2,1,Diatom-associated early-year state,SPCo2,40.20191,-0.2313146892636374
2004-06-01,2,1,Diatom-associated early-year state,MLD,10.81542,0.40803629440665967
2004-06-01,2,1,Diatom-associated early-year state,SSS,31.92266,-0.508517334791406
2004-06-01,2,1,Diatom-associated early-year state,SSH,0.2117204,0.3471626634731072
2004-06-01,2,1,Diatom-associated early-year state,PAR,44.87814,0.12593461198198758
2004-06-01,2,1,Diatom-associated early-year state,PDO,-0.11,0.12767935009061757
2004-06-01,2,1,Diatom-associated early-year state,NINO_3.4,0.14,-0.011752081807843982
2004-06-01,2,1,Diatom-associated early-year state,WPI,2.08,0.05700625162285529
2004-06-01,2,1,Diatom-associated early-year state,MHW_MeanInt,0.7052243039103672,0.07095226230677554
2004-06-01,2,1,Diatom-associated early-year state,MHW_MaxInt,0.825713052696114,0.01783636049416081
2004-06-01,2,1,Diatom-associated early-year state,MHW_CumInt,8.225532063302692,0.1632854580651024
2004-07-01,2,1,Diatom-associated early-year state,SST,24.48953,-0.7030950192220023
2004-07-01,2,1,Diatom-associated early-year state,NO3,6.028406,-0.16527810555663952
2004-07-01,2,1,Diatom-associated early-year state,PO4,0.01383416,0.001090336032506744
2004-07-01,2,1,Diatom-associated early-year state,SPCo2,42.20972,-0.24698279927212094
2004-07-01,2,1,Diatom-associated early-year state,MLD,10.43177,0.9017832747743808
2004-07-01,2,1,Diatom-associated early-year state,SSS,31.63861,-0.48177211113005614
2004-07-01,2,1,Diatom-associated early-year state,SSH,0.3046883,-0.3532142238591765
2004-07-01,2,1,Diatom-associated early-year state,PAR,47.94345,0.23560589294246898
2004-07-01,2,1,Diatom-associated early-year state,PDO,0.04,0.11606037532512134
2004-07-01,2,1,Diatom-associated early-year state,NINO_3.4,0.41,-0.05407857690784169
2004-07-01,2,1,Diatom-associated early-year state,WPI,0.34,0.0010659168697350475
2004-07-01,2,1,Diatom-associated early-year state,MHW_MeanInt,0.440318993464901,0.05095715135912508
2004-07-01,2,1,Diatom-associated early-year state,MHW_MaxInt,0.511544179146927,0.027018395081282988
2004-07-01,2,1,Diatom-associated early-year state,MHW_CumInt,3.044725152229759,-0.09810324919851736
2004-08-01,3,1,Diatom-associated early-year state,SST,27.28089,-1.2902424485405113
2004-08-01,3,1,Diatom-associated early-year state,NO3,6.00083,-0.284980018038665
2004-08-01,3,1,Diatom-associated early-year state,PO4,0.02014996,-0.0714388348689112
2004-08-01,3,1,Diatom-associated early-year state,SPCo2,42.2198,-0.3660384053320736
2004-08-01,3,1,Diatom-associated early-year state,MLD,11.41334,-0.80620435250036
2004-08-01,3,1,Diatom-associated early-year state,SSS,31.47626,-0.6985378843753242
2004-08-01,3,1,Diatom-associated early-year state,SSH,0.3600362,-0.4910564120930812
2004-08-01,3,1,Diatom-associated early-year state,PAR,44.73951,0.146713872653675
2004-08-01,3,1,Diatom-associated early-year state,PDO,0.24,0.05402839759008987
2004-08-01,3,1,Diatom-associated early-year state,NINO_3.4,0.66,-0.18795967346006784
2004-08-01,3,1,Diatom-associated early-year state,WPI,-0.03,-0.05572854244080747
2004-08-01,3,1,Diatom-associated early-year state,MHW_MeanInt,0.0257680290153294,-0.05369876610760062
2004-08-01,3,1,Diatom-associated early-year state,MHW_MaxInt,0.0289674897487251,-0.06636563220391588
2004-08-01,3,1,Diatom-associated early-year state,MHW_CumInt,0.2004430528505677,-0.15564632995002445
2004-09-01,3,1,Diatom-associated early-year state,SST,24.63984,-1.353329323075521
2004-09-01,3,1,Diatom-associated early-year state,NO3,4.70664,-0.4519536202715219
2004-09-01,3,1,Diatom-associated early-year state,PO4,0.01426346,-0.0825360309558482
2004-09-01,3,1,Diatom-associated early-year state,SPCo2,37.38408,-0.2733748016965164
2004-09-01,3,1,Diatom-associated early-year state,MLD,15.42297,-0.8955237676257818
2004-09-01,3,1,Diatom-associated early-year state,SSS,31.62282,-0.8021952614610307
2004-09-01,3,1,Diatom-associated early-year state,SSH,0.345729,-0.5748328242099237
2004-09-01,3,1,Diatom-associated early-year state,PAR,35.61415,-0.41941800304181204
2004-09-01,3,1,Diatom-associated early-year state,PDO,0.02,0.12458588668079579
2004-09-01,3,1,Diatom-associated early-year state,NINO_3.4,0.67,-0.24539614117922992
2004-09-01,3,1,Diatom-associated early-year state,WPI,0.26,-0.052859772388915476
2004-09-01,3,1,Diatom-associated early-year state,MHW_MeanInt,0.0,-0.04225692824806287
2004-09-01,3,1,Diatom-associated early-year state,MHW_MaxInt,0.0,-0.011447158906879622
2004-09-01,3,1,Diatom-associated early-year state,MHW_CumInt,0.0,-0.1530959762026557
2004-10-01,3,1,Diatom-associated early-year state,SST,21.5269,-1.3625650936752962
2004-10-01,3,1,Diatom-associated early-year state,NO3,3.753388,-0.3667516501440594
2004-10-01,3,1,Diatom-associated early-year state,PO4,0.01845098,-0.07109126490106407
2004-10-01,3,1,Diatom-associated early-year state,SPCo2,32.82095,-0.19378200410996016
2004-10-01,3,1,Diatom-associated early-year state,MLD,23.89636,-0.8720966449640436
2004-10-01,3,1,Diatom-associated early-year state,SSS,31.94041,-0.7897544593690102
2004-10-01,3,1,Diatom-associated early-year state,SSH,0.3262095,-0.4938093014794553
2004-10-01,3,1,Diatom-associated early-year state,PAR,31.95409,-0.5001473580641237
2004-10-01,3,1,Diatom-associated early-year state,PDO,-0.72,-0.11666753118728043
2004-10-01,3,1,Diatom-associated early-year state,NINO_3.4,0.73,-0.3226090116196523
2004-10-01,3,1,Diatom-associated early-year state,WPI,0.89,0.0672084904355854
2004-10-01,3,1,Diatom-associated early-year state,MHW_MeanInt,0.2316462288261515,-0.08404907824754775
2004-10-01,3,1,Diatom-associated early-year state,MHW_MaxInt,0.2561818053616116,-0.05823580189736385
2004-10-01,3,1,Diatom-associated early-year state,MHW_CumInt,1.973895998423072,-0.19659048272367252
2004-11-01,3,1,Diatom-associated early-year state,SST,18.65132,-1.5235220607998083
2004-11-01,3,1,Diatom-associated early-year state,NO3,3.491994,-0.37062263973752735
2004-11-01,3,1,Diatom-associated early-year state,PO4,0.02362705,-0.016072928923185098
2004-11-01,3,1,Diatom-associated early-year state,SPCo2,29.38143,0.06015898394487154
2004-11-01,3,1,Diatom-associated early-year state,MLD,28.74349,-0.5702848982969173
2004-11-01,3,1,Diatom-associated early-year state,SSS,32.20064,-0.2888136663371165
2004-11-01,3,1,Diatom-associated early-year state,SSH,0.2840581,-0.37656956114576084
2004-11-01,3,1,Diatom-associated early-year state,PAR,22.29022,-0.24802380658109432
2004-11-01,3,1,Diatom-associated early-year state,PDO,-1.22,-0.2156345908197939
2004-11-01,3,1,Diatom-associated early-year state,NINO_3.4,0.62,-0.3403447371390238
