Variable_1,Variable_2,Spearman_R,Absolute_Spearman_R,Above_0.80
PAR,MHW_CumInt,0.3128156605080072,0.3128156605080072,False
SPCo2,MHW_CumInt,0.3005842268478847,0.3005842268478847,False
PAR,WPI,-0.2952553990856657,0.2952553990856657,False
SPCo2,WPI,-0.28065509108761266,0.28065509108761266,False
PO4,MHW_MeanInt,-0.2634037936567529,0.2634037936567529,False
SSS,WPI,0.2597211365436462,0.2597211365436462,False
PO4,MHW_MaxInt,-0.2572820001740571,0.2572820001740571,False
MLD,WPI,0.24380882358470746,0.24380882358470746,False
SST,WPI,-0.24361350464187126,0.24361350464187126,False
PO4,SSH,-0.2295612771055053,0.2295612771055053,False
NO3,WPI,-0.21960229593587516,0.21960229593587516,False
PO4,MHW_CumInt,-0.20911584711288633,0.20911584711288633,False
NO3,MHW_MeanInt,0.20523894273204124,0.20523894273204124,False
PO4,WPI,0.20088770291750144,0.20088770291750144,False
NO3,MHW_MaxInt,0.19583315254698608,0.19583315254698608,False
SSS,MHW_MeanInt,-0.17821657986510486,0.17821657986510486,False
SSS,MHW_MaxInt,-0.17376325964431208,0.17376325964431208,False
NO3,MHW_CumInt,0.1578071965464179,0.1578071965464179,False
SST,MHW_MeanInt,0.1568635792015951,0.1568635792015951,False
SSS,MHW_CumInt,-0.15017672220590064,0.15017672220590064,False
SST,MHW_MaxInt,0.1496948652792891,0.1496948652792891,False
SSH,WPI,-0.14537675723716953,0.14537675723716953,False
SST,MHW_CumInt,0.1250149746506672,0.1250149746506672,False
MLD,SSH,-0.11704543481657667,0.11704543481657667,False
SST,PDO,-0.11151908738117691,0.11151908738117691,False
SSH,PDO,-0.10301271378477825,0.10301271378477825,False
SSS,PDO,0.09185133937294292,0.09185133937294292,False
MLD,NINO_3.4,-0.07804489102714865,0.07804489102714865,False
PAR,NINO_3.4,0.07450132214303601,0.07450132214303601,False
NO3,NINO_3.4,0.07223776117651869,0.07223776117651869,False
SSH,NINO_3.4,0.06943554648815131,0.06943554648815131,False
PDO,MHW_MaxInt,-0.0610948714559381,0.0610948714559381,False
PO4,PDO,0.0585714908966436,0.0585714908966436,False
PAR,PDO,0.057314936576734726,0.057314936576734726,False
MLD,PDO,-0.05697898733887308,0.05697898733887308,False
PDO,MHW_MeanInt,-0.05557370143647483,0.05557370143647483,False
SSH,MHW_CumInt,0.050346803263741975,0.050346803263741975,False
SPCo2,PDO,-0.04954687002633433,0.04954687002633433,False
SPCo2,NINO_3.4,0.047183635364569904,0.047183635364569904,False
PDO,MHW_CumInt,-0.045490621283005364,0.045490621283005364,False
SST,NINO_3.4,0.044897069847482034,0.044897069847482034,False
WPI,MHW_MeanInt,-0.040664726739548594,0.040664726739548594,False
WPI,MHW_MaxInt,-0.040277985161031656,0.040277985161031656,False
PDO,WPI,-0.03825497252798075,0.03825497252798075,False
SSS,NINO_3.4,-0.029156761334804965,0.029156761334804965,False
NINO_3.4,MHW_MaxInt,-0.026880432253902787,0.026880432253902787,False
PO4,NINO_3.4,0.026512961556620824,0.026512961556620824,False
NINO_3.4,MHW_CumInt,-0.026125602908702927,0.026125602908702927,False
NINO_3.4,MHW_MeanInt,-0.02289880512134481,0.02289880512134481,False
NINO_3.4,WPI,-0.022381390158488182,0.022381390158488182,False
NO3,PDO,-0.02061096319004934,0.02061096319004934,False
WPI,MHW_CumInt,-0.020217773272435947,0.020217773272435947,False
SSH,MHW_MeanInt,-0.011701028694449335,0.011701028694449335,False
SSH,MHW_MaxInt,-0.006202526153412011,0.006202526153412011,False
SSH,PAR,-0.0009922047257764893,0.0009922047257764893,False
