Months,Year,Month_Number,Ecological_State,State_Name,Environmental_Variable,Value
2008-09-01,2008,9,3,Prokaryote-dominated late-year state,SST,25.17165
2008-10-01,2008,10,3,Prokaryote-dominated late-year state,SST,22.15999
2008-11-01,2008,11,3,Prokaryote-dominated late-year state,SST,18.23831
2008-12-01,2008,12,1,Diatom-associated early-year state,SST,13.74592
2009-01-01,2009,1,1,Diatom-associated early-year state,SST,10.56733
2009-02-01,2009,2,1,Diatom-associated early-year state,SST,9.965669
2009-03-01,2009,3,1,Diatom-associated early-year state,SST,10.3221
2009-04-01,2009,4,1,Diatom-associated early-year state,SST,13.10787
2009-05-01,2009,5,2,Mixed-prokaryote mid-year state,SST,16.72519
2009-06-01,2009,6,2,Mixed-prokaryote mid-year state,SST,20.44709
2009-07-01,2009,7,2,Mixed-prokaryote mid-year state,SST,24.01626
2009-08-01,2009,8,2,Mixed-prokaryote mid-year state,SST,25.82717
2009-09-01,2009,9,3,Prokaryote-dominated late-year state,SST,24.78023
2009-10-01,2009,10,3,Prokaryote-dominated late-year state,SST,22.0396
2009-11-01,2009,11,3,Prokaryote-dominated late-year state,SST,17.8215
2009-12-01,2009,12,1,Diatom-associated early-year state,SST,13.39651
2010-01-01,2010,1,1,Diatom-associated early-year state,SST,10.2186
2010-02-01,2010,2,1,Diatom-associated early-year state,SST,8.796714
2010-03-01,2010,3,1,Diatom-associated early-year state,SST,9.088304
2010-04-01,2010,4,1,Diatom-associated early-year state,SST,11.15974
2010-05-01,2010,5,1,Diatom-associated early-year state,SST,15.07052
2010-06-01,2010,6,2,Mixed-prokaryote mid-year state,SST,19.9422
2010-07-01,2010,7,2,Mixed-prokaryote mid-year state,SST,24.16658
2010-08-01,2010,8,2,Mixed-prokaryote mid-year state,SST,26.56218
2010-09-01,2010,9,3,Prokaryote-dominated late-year state,SST,25.16753
2010-10-01,2010,10,3,Prokaryote-dominated late-year state,SST,21.63019
2010-11-01,2010,11,3,Prokaryote-dominated late-year state,SST,17.44055
2010-12-01,2010,12,3,Prokaryote-dominated late-year state,SST,13.74267
2011-01-01,2011,1,1,Diatom-associated early-year state,SST,9.66562
2011-02-01,2011,2,1,Diatom-associated early-year state,SST,8.777107
2011-03-01,2011,3,1,Diatom-associated early-year state,SST,8.888328
2011-04-01,2011,4,1,Diatom-associated early-year state,SST,11.29099
2011-05-01,2011,5,2,Mixed-prokaryote mid-year state,SST,15.11786
2011-06-01,2011,6,2,Mixed-prokaryote mid-year state,SST,19.42791
2011-07-01,2011,7,2,Mixed-prokaryote mid-year state,SST,23.82733
2011-08-01,2011,8,2,Mixed-prokaryote mid-year state,SST,24.87282
2011-09-01,2011,9,3,Prokaryote-dominated late-year state,SST,23.81514
2011-10-01,2011,10,3,Prokaryote-dominated late-year state,SST,21.14091
2011-11-01,2011,11,3,Prokaryote-dominated late-year state,SST,18.24443
2011-12-01,2011,12,1,Diatom-associated early-year state,SST,14.34846
2012-01-01,2012,1,1,Diatom-associated early-year state,SST,10.88351
2012-02-01,2012,2,3,Prokaryote-dominated late-year state,SST,9.027214
2012-03-01,2012,3,3,Prokaryote-dominated late-year state,SST,9.297169
2012-04-01,2012,4,1,Diatom-associated early-year state,SST,11.76779
2012-05-01,2012,5,1,Diatom-associated early-year state,SST,16.14271
2012-06-01,2012,6,2,Mixed-prokaryote mid-year state,SST,20.95829
2012-07-01,2012,7,2,Mixed-prokaryote mid-year state,SST,24.8509
2012-08-01,2012,8,2,Mixed-prokaryote mid-year state,SST,25.9811
2012-09-01,2012,9,3,Prokaryote-dominated late-year state,SST,24.05809
2012-10-01,2012,10,3,Prokaryote-dominated late-year state,SST,21.42516
2012-11-01,2012,11,3,Prokaryote-dominated late-year state,SST,16.90897
2012-12-01,2012,12,3,Prokaryote-dominated late-year state,SST,12.9698
2013-01-01,2013,1,1,Diatom-associated early-year state,SST,10.0581
2013-02-01,2013,2,3,Prokaryote-dominated late-year state,SST,9.240296
2013-03-01,2013,3,3,Prokaryote-dominated late-year state,SST,9.718316
2013-04-01,2013,4,1,Diatom-associated early-year state,SST,11.21947
2013-05-01,2013,5,1,Diatom-associated early-year state,SST,15.94189
2013-06-01,2013,6,2,Mixed-prokaryote mid-year state,SST,20.33818
2013-07-01,2013,7,2,Mixed-prokaryote mid-year state,SST,24.83241
2013-08-01,2013,8,2,Mixed-prokaryote mid-year state,SST,27.49409
2013-09-01,2013,9,3,Prokaryote-dominated late-year state,SST,25.13302
2013-10-01,2013,10,3,Prokaryote-dominated late-year state,SST,22.07721
2013-11-01,2013,11,3,Prokaryote-dominated late-year state,SST,17.8986
2013-12-01,2013,12,3,Prokaryote-dominated late-year state,SST,13.98345
2014-01-01,2014,1,3,Prokaryote-dominated late-year state,SST,11.27123
2014-02-01,2014,2,3,Prokaryote-dominated late-year state,SST,10.13121
2014-03-01,2014,3,3,Prokaryote-dominated late-year state,SST,10.25016
2014-04-01,2014,4,1,Diatom-associated early-year state,SST,13.00473
2014-05-01,2014,5,1,Diatom-associated early-year state,SST,16.0446
2014-06-01,2014,6,2,Mixed-prokaryote mid-year state,SST,20.6141
2014-07-01,2014,7,2,Mixed-prokaryote mid-year state,SST,23.55093
2014-08-01,2014,8,2,Mixed-prokaryote mid-year state,SST,25.62738
2014-09-01,2014,9,2,Mixed-prokaryote mid-year state,SST,25.12296
2014-10-01,2014,10,3,Prokaryote-dominated late-year state,SST,21.40834
2014-11-01,2014,11,3,Prokaryote-dominated late-year state,SST,18.01021
2014-12-01,2014,12,3,Prokaryote-dominated late-year state,SST,13.88696
2015-01-01,2015,1,3,Prokaryote-dominated late-year state,SST,10.9473
2015-02-01,2015,2,3,Prokaryote-dominated late-year state,SST,9.598001
2015-03-01,2015,3,3,Prokaryote-dominated late-year state,SST,9.94882
2015-04-01,2015,4,1,Diatom-associated early-year state,SST,12.2354
2015-05-01,2015,5,2,Mixed-prokaryote mid-year state,SST,16.21392
2015-06-01,2015,6,2,Mixed-prokaryote mid-year state,SST,20.6311
2015-07-01,2015,7,2,Mixed-prokaryote mid-year state,SST,23.69492
2015-08-01,2015,8,2,Mixed-prokaryote mid-year state,SST,26.55558
2015-09-01,2015,9,3,Prokaryote-dominated late-year state,SST,24.86015
2015-10-01,2015,10,3,Prokaryote-dominated late-year state,SST,21.63404
2015-11-01,2015,11,3,Prokaryote-dominated late-year state,SST,18.49712
2015-12-01,2015,12,3,Prokaryote-dominated late-year state,SST,14.177
2016-01-01,2016,1,3,Prokaryote-dominated late-year state,SST,11.35939
2016-02-01,2016,2,3,Prokaryote-dominated late-year state,SST,9.065997
2016-03-01,2016,3,3,Prokaryote-dominated late-year state,SST,9.826246
2016-04-01,2016,4,3,Prokaryote-dominated late-year state,SST,12.14766
2016-05-01,2016,5,1,Diatom-associated early-year state,SST,16.10254
2016-06-01,2016,6,2,Mixed-prokaryote mid-year state,SST,20.85806
2016-07-01,2016,7,2,Mixed-prokaryote mid-year state,SST,24.94849
2016-08-01,2016,8,2,Mixed-prokaryote mid-year state,SST,27.7583
2016-09-01,2016,9,2,Mixed-prokaryote mid-year state,SST,24.96757
2016-10-01,2016,10,3,Prokaryote-dominated late-year state,SST,22.26512
2016-11-01,2016,11,2,Mixed-prokaryote mid-year state,SST,17.89845
2016-12-01,2016,12,1,Diatom-associated early-year state,SST,14.34439
2017-01-01,2017,1,1,Diatom-associated early-year state,SST,11.71392
2017-02-01,2017,2,1,Diatom-associated early-year state,SST,10.105
2017-03-01,2017,3,1,Diatom-associated early-year state,SST,10.28231
2017-04-01,2017,4,1,Diatom-associated early-year state,SST,12.78148
2017-05-01,2017,5,3,Prokaryote-dominated late-year state,SST,17.25041
2017-06-01,2017,6,2,Mixed-prokaryote mid-year state,SST,21.30556
2017-07-01,2017,7,2,Mixed-prokaryote mid-year state,SST,26.08025
2017-08-01,2017,8,2,Mixed-prokaryote mid-year state,SST,27.61112
2017-09-01,2017,9,3,Prokaryote-dominated late-year state,SST,25.03319
2017-10-01,2017,10,2,Mixed-prokaryote mid-year state,SST,21.92051
2017-11-01,2017,11,2,Mixed-prokaryote mid-year state,SST,17.68049
2017-12-01,2017,12,1,Diatom-associated early-year state,SST,13.80177
2018-01-01,2018,1,1,Diatom-associated early-year state,SST,10.81827
2018-02-01,2018,2,1,Diatom-associated early-year state,SST,8.39501
2018-03-01,2018,3,1,Diatom-associated early-year state,SST,9.541696
2018-04-01,2018,4,3,Prokaryote-dominated late-year state,SST,12.26381
2018-05-01,2018,5,3,Prokaryote-dominated late-year state,SST,16.34415
2018-06-01,2018,6,2,Mixed-prokaryote mid-year state,SST,20.87104
2018-07-01,2018,7,2,Mixed-prokaryote mid-year state,SST,24.95535
2018-08-01,2018,8,2,Mixed-prokaryote mid-year state,SST,27.43576
2018-09-01,2018,9,3,Prokaryote-dominated late-year state,SST,25.73086
2018-10-01,2018,10,3,Prokaryote-dominated late-year state,SST,21.54781
2018-11-01,2018,11,2,Mixed-prokaryote mid-year state,SST,18.05849
2018-12-01,2018,12,1,Diatom-associated early-year state,SST,14.78516
2019-01-01,2019,1,1,Diatom-associated early-year state,SST,11.33342
2019-02-01,2019,2,1,Diatom-associated early-year state,SST,10.04073
2019-03-01,2019,3,1,Diatom-associated early-year state,SST,10.47788
2019-04-01,2019,4,1,Diatom-associated early-year state,SST,12.70382
2019-05-01,2019,5,3,Prokaryote-dominated late-year state,SST,16.50236
2019-06-01,2019,6,2,Mixed-prokaryote mid-year state,SST,20.34853
2019-07-01,2019,7,2,Mixed-prokaryote mid-year state,SST,24.31108
2019-08-01,2019,8,3,Prokaryote-dominated late-year state,SST,26.92452
2019-09-01,2019,9,3,Prokaryote-dominated late-year state,SST,25.00072
2019-10-01,2019,10,3,Prokaryote-dominated late-year state,SST,22.19735
2019-11-01,2019,11,3,Prokaryote-dominated late-year state,SST,18.30969
2019-12-01,2019,12,1,Diatom-associated early-year state,SST,14.55685
2020-01-01,2020,1,1,Diatom-associated early-year state,SST,12.00291
2020-02-01,2020,2,1,Diatom-associated early-year state,SST,10.28555
2020-03-01,2020,3,1,Diatom-associated early-year state,SST,10.70586
2020-04-01,2020,4,3,Prokaryote-dominated late-year state,SST,12.73056
2020-05-01,2020,5,2,Mixed-prokaryote mid-year state,SST,16.43019
2020-06-01,2020,6,3,Prokaryote-dominated late-year state,SST,21.18923
2020-07-01,2020,7,2,Mixed-prokaryote mid-year state,SST,23.63997
2020-08-01,2020,8,2,Mixed-prokaryote mid-year state,SST,26.37829
2020-09-01,2020,9,3,Prokaryote-dominated late-year state,SST,25.02943
2020-10-01,2020,10,3,Prokaryote-dominated late-year state,SST,21.79563
2020-11-01,2020,11,2,Mixed-prokaryote mid-year state,SST,18.76778
2020-12-01,2020,12,1,Diatom-associated early-year state,SST,14.62928
2021-01-01,2021,1,1,Diatom-associated early-year state,SST,10.80729
2021-02-01,2021,2,1,Diatom-associated early-year state,SST,10.24799
2021-03-01,2021,3,1,Diatom-associated early-year state,SST,11.16464
2021-04-01,2021,4,3,Prokaryote-dominated late-year state,SST,13.15914
2021-05-01,2021,5,3,Prokaryote-dominated late-year state,SST,16.5973
2021-06-01,2021,6,2,Mixed-prokaryote mid-year state,SST,21.35476
2021-07-01,2021,7,2,Mixed-prokaryote mid-year state,SST,25.39187
2021-08-01,2021,8,3,Prokaryote-dominated late-year state,SST,26.98162
2021-09-01,2021,9,3,Prokaryote-dominated late-year state,SST,25.86352
2021-10-01,2021,10,3,Prokaryote-dominated late-year state,SST,23.13065
2021-11-01,2021,11,2,Mixed-prokaryote mid-year state,SST,18.88909
2021-12-01,2021,12,1,Diatom-associated early-year state,SST,15.32241
2022-01-01,2022,1,1,Diatom-associated early-year state,SST,12.14894
2022-02-01,2022,2,1,Diatom-associated early-year state,SST,10.3435
2022-03-01,2022,3,3,Prokaryote-dominated late-year state,SST,10.73785
2022-04-01,2022,4,3,Prokaryote-dominated late-year state,SST,13.25727
2022-05-01,2022,5,3,Prokaryote-dominated late-year state,SST,16.72705
2022-06-01,2022,6,2,Mixed-prokaryote mid-year state,SST,21.08089
2022-07-01,2022,7,2,Mixed-prokaryote mid-year state,SST,26.06562
2022-08-01,2022,8,3,Prokaryote-dominated late-year state,SST,27.4845
2022-09-01,2022,9,3,Prokaryote-dominated late-year state,SST,24.54202
2022-10-01,2022,10,3,Prokaryote-dominated late-year state,SST,21.46513
2022-11-01,2022,11,2,Mixed-prokaryote mid-year state,SST,18.68626
2022-12-01,2022,12,1,Diatom-associated early-year state,SST,14.90764
2003-01-01,2003,1,1,Diatom-associated early-year state,NO3,2.066182
2003-02-01,2003,2,1,Diatom-associated early-year state,NO3,1.872806
2003-03-01,2003,3,1,Diatom-associated early-year state,NO3,1.789827
2003-04-01,2003,4,1,Diatom-associated early-year state,NO3,2.553677
2003-05-01,2003,5,2,Mixed-prokaryote mid-year state,NO3,3.514215
2003-06-01,2003,6,2,Mixed-prokaryote mid-year state,NO3,4.782942
2003-07-01,2003,7,2,Mixed-prokaryote mid-year state,NO3,6.44504
2003-08-01,2003,8,3,Prokaryote-dominated late-year state,NO3,6.747303
2003-09-01,2003,9,3,Prokaryote-dominated late-year state,NO3,5.868157
2003-10-01,2003,10,3,Prokaryote-dominated late-year state,NO3,4.553604
2003-11-01,2003,11,3,Prokaryote-dominated late-year state,NO3,3.699384
2003-12-01,2003,12,3,Prokaryote-dominated late-year state,NO3,2.481625
2004-01-01,2004,1,1,Diatom-associated early-year state,NO3,2.073107
2004-02-01,2004,2,1,Diatom-associated early-year state,NO3,1.997658
2004-03-01,2004,3,1,Diatom-associated early-year state,NO3,1.945145
2004-04-01,2004,4,1,Diatom-associated early-year state,NO3,2.413163
2004-05-01,2004,5,1,Diatom-associated early-year state,NO3,3.841927
2004-06-01,2004,6,2,Mixed-prokaryote mid-year state,NO3,4.724819
2004-07-01,2004,7,2,Mixed-prokaryote mid-year state,NO3,6.028406
2004-08-01,2004,8,3,Prokaryote-dominated late-year state,NO3,6.00083
2004-09-01,2004,9,3,Prokaryote-dominated late-year state,NO3,4.70664
2004-10-01,2004,10,3,Prokaryote-dominated late-year state,NO3,3.753388
2004-11-01,2004,11,3,Prokaryote-dominated late-year state,NO3,3.491994
2004-12-01,2004,12,3,Prokaryote-dominated late-year state,NO3,2.70595
2005-01-01,2005,1,1,Diatom-associated early-year state,NO3,1.795859
2005-02-01,2005,2,1,Diatom-associated early-year state,NO3,1.451779
2005-03-01,2005,3,1,Diatom-associated early-year state,NO3,1.41001
2005-04-01,2005,4,1,Diatom-associated early-year state,NO3,2.284747
2005-05-01,2005,5,2,Mixed-prokaryote mid-year state,NO3,3.266682
2005-06-01,2005,6,2,Mixed-prokaryote mid-year state,NO3,4.886552
2005-07-01,2005,7,2,Mixed-prokaryote mid-year state,NO3,5.622714
2005-08-01,2005,8,3,Prokaryote-dominated late-year state,NO3,4.697174
2005-09-01,2005,9,3,Prokaryote-dominated late-year state,NO3,4.071968
2005-10-01,2005,10,3,Prokaryote-dominated late-year state,NO3,3.572884
2005-11-01,2005,11,3,Prokaryote-dominated late-year state,NO3,3.471994
2005-12-01,2005,12,1,Diatom-associated early-year state,NO3,2.295146
2006-01-01,2006,1,1,Diatom-associated early-year state,NO3,1.824656
2006-02-01,2006,2,1,Diatom-associated early-year state,NO3,1.470138
2006-03-01,2006,3,1,Diatom-associated early-year state,NO3,1.563969
2006-04-01,2006,4,1,Diatom-associated early-year state,NO3,2.05737
2006-05-01,2006,5,1,Diatom-associated early-year state,NO3,3.074099
2006-06-01,2006,6,2,Mixed-prokaryote mid-year state,NO3,4.761292
2006-07-01,2006,7,2,Mixed-prokaryote mid-year state,NO3,5.575527
2006-08-01,2006,8,2,Mixed-prokaryote mid-year state,NO3,5.629235
2006-09-01,2006,9,3,Prokaryote-dominated late-year state,NO3,4.426077
2006-10-01,2006,10,3,Prokaryote-dominated late-year state,NO3,4.298798
2006-11-01,2006,11,3,Prokaryote-dominated late-year state,NO3,3.525753
2006-12-01,2006,12,3,Prokaryote-dominated late-year state,NO3,2.623521
2007-01-01,2007,1,1,Diatom-associated early-year state,NO3,1.865525
2007-02-01,2007,2,1,Diatom-associated early-year state,NO3,1.774265
2007-03-01,2007,3,1,Diatom-associated early-year state,NO3,1.827618
2007-04-01,2007,4,1,Diatom-associated early-year state,NO3,2.309976
2007-05-01,2007,5,2,Mixed-prokaryote mid-year state,NO3,3.470253
2007-06-01,2007,6,2,Mixed-prokaryote mid-year state,NO3,4.642597
2007-07-01,2007,7,2,Mixed-prokaryote mid-year state,NO3,5.822251
2007-08-01,2007,8,2,Mixed-prokaryote mid-year state,NO3,6.719602
2007-09-01,2007,9,3,Prokaryote-dominated late-year state,NO3,5.285509
2007-10-01,2007,10,3,Prokaryote-dominated late-year state,NO3,4.417446
2007-11-01,2007,11,3,Prokaryote-dominated late-year state,NO3,3.552208
2007-12-01,2007,12,1,Diatom-associated early-year state,NO3,2.875592
2008-01-01,2008,1,3,Prokaryote-dominated late-year state,NO3,2.037807
2008-02-01,2008,2,1,Diatom-associated early-year state,NO3,1.455023
2008-03-01,2008,3,1,Diatom-associated early-year state,NO3,1.758864
2008-04-01,2008,4,1,Diatom-associated early-year state,NO3,2.405792
2008-05-01,2008,5,2,Mixed-prokaryote mid-year state,NO3,3.477464
2008-06-01,2008,6,2,Mixed-prokaryote mid-year state,NO3,4.632925
2008-07-01,2008,7,2,Mixed-prokaryote mid-year state,NO3,6.073542
2008-08-01,2008,8,3,Prokaryote-dominated late-year state,NO3,5.606761
2008-09-01,2008,9,3,Prokaryote-dominated late-year state,NO3,4.696881
2008-10-01,2008,10,3,Prokaryote-dominated late-year state,NO3,4.197331
2008-11-01,2008,11,3,Prokaryote-dominated late-year state,NO3,3.482705
2008-12-01,2008,12,1,Diatom-associated early-year state,NO3,2.650269
2009-01-01,2009,1,1,Diatom-associated early-year state,NO3,1.829847
2009-02-01,2009,2,1,Diatom-associated early-year state,NO3,1.742423
2009-03-01,2009,3,1,Diatom-associated early-year state,NO3,1.650761
2009-04-01,2009,4,1,Diatom-associated early-year state,NO3,2.230048
2009-05-01,2009,5,2,Mixed-prokaryote mid-year state,NO3,3.289662
2009-06-01,2009,6,2,Mixed-prokaryote mid-year state,NO3,4.863413
2009-07-01,2009,7,2,Mixed-prokaryote mid-year state,NO3,5.917418
2009-08-01,2009,8,2,Mixed-prokaryote mid-year state,NO3,5.723061
2009-09-01,2009,9,3,Prokaryote-dominated late-year state,NO3,5.010671
2009-10-01,2009,10,3,Prokaryote-dominated late-year state,NO3,4.689354
2009-11-01,2009,11,3,Prokaryote-dominated late-year state,NO3,3.589816
2009-12-01,2009,12,1,Diatom-associated early-year state,NO3,2.563715
2010-01-01,2010,1,1,Diatom-associated early-year state,NO3,1.900383
2010-02-01,2010,2,1,Diatom-associated early-year state,NO3,1.735985
2010-03-01,2010,3,1,Diatom-associated early-year state,NO3,1.591832
2010-04-01,2010,4,1,Diatom-associated early-year state,NO3,2.025447
2010-05-01,2010,5,1,Diatom-associated early-year state,NO3,3.191687
2010-06-01,2010,6,2,Mixed-prokaryote mid-year state,NO3,4.691751
2010-07-01,2010,7,2,Mixed-prokaryote mid-year state,NO3,6.518647
2010-08-01,2010,8,2,Mixed-prokaryote mid-year state,NO3,6.624375
2010-09-01,2010,9,3,Prokaryote-dominated late-year state,NO3,5.572701
2010-10-01,2010,10,3,Prokaryote-dominated late-year state,NO3,4.100891
2010-11-01,2010,11,3,Prokaryote-dominated late-year state,NO3,3.199481
2010-12-01,2010,12,3,Prokaryote-dominated late-year state,NO3,2.618837
2011-01-01,2011,1,1,Diatom-associated early-year state,NO3,1.643209
2011-02-01,2011,2,1,Diatom-associated early-year state,NO3,1.39087
2011-03-01,2011,3,1,Diatom-associated early-year state,NO3,1.417785
2011-04-01,2011,4,1,Diatom-associated early-year state,NO3,1.898793
2011-05-01,2011,5,2,Mixed-prokaryote mid-year state,NO3,2.8366730000000002
2011-06-01,2011,6,2,Mixed-prokaryote mid-year state,NO3,4.287622
2011-07-01,2011,7,2,Mixed-prokaryote mid-year state,NO3,5.717331
2011-08-01,2011,8,2,Mixed-prokaryote mid-year state,NO3,5.299949
2011-09-01,2011,9,3,Prokaryote-dominated late-year state,NO3,4.26396
2011-10-01,2011,10,3,Prokaryote-dominated late-year state,NO3,3.654976
2011-11-01,2011,11,3,Prokaryote-dominated late-year state,NO3,3.174246
2011-12-01,2011,12,1,Diatom-associated early-year state,NO3,2.103608
2012-01-01,2012,1,1,Diatom-associated early-year state,NO3,1.460958
2012-02-01,2012,2,3,Prokaryote-dominated late-year state,NO3,1.177713
2012-03-01,2012,3,3,Prokaryote-dominated late-year state,NO3,1.145063
2012-04-01,2012,4,1,Diatom-associated early-year state,NO3,1.971534
2012-05-01,2012,5,1,Diatom-associated early-year state,NO3,3.151459
2012-06-01,2012,6,2,Mixed-prokaryote mid-year state,NO3,4.321533
2012-07-01,2012,7,2,Mixed-prokaryote mid-year state,NO3,5.705082
2012-08-01,2012,8,2,Mixed-prokaryote mid-year state,NO3,4.986777
2012-09-01,2012,9,3,Prokaryote-dominated late-year state,NO3,4.376772
2012-10-01,2012,10,3,Prokaryote-dominated late-year state,NO3,3.771073
2012-11-01,2012,11,3,Prokaryote-dominated late-year state,NO3,3.200921
2012-12-01,2012,12,3,Prokaryote-dominated late-year state,NO3,2.468201
2013-01-01,2013,1,1,Diatom-associated early-year state,NO3,1.85929
2013-02-01,2013,2,3,Prokaryote-dominated late-year state,NO3,1.652196
2013-03-01,2013,3,3,Prokaryote-dominated late-year state,NO3,1.591981
2013-04-01,2013,4,1,Diatom-associated early-year state,NO3,1.999425
2013-05-01,2013,5,1,Diatom-associated early-year state,NO3,3.372037
2013-06-01,2013,6,2,Mixed-prokaryote mid-year state,NO3,4.428969
2013-07-01,2013,7,2,Mixed-prokaryote mid-year state,NO3,5.683077
2013-08-01,2013,8,2,Mixed-prokaryote mid-year state,NO3,5.691285
2013-09-01,2013,9,3,Prokaryote-dominated late-year state,NO3,4.242201
2013-10-01,2013,10,3,Prokaryote-dominated late-year state,NO3,3.504446
2013-11-01,2013,11,3,Prokaryote-dominated late-year state,NO3,3.135605
2013-12-01,2013,12,3,Prokaryote-dominated late-year state,NO3,2.505222
2014-01-01,2014,1,3,Prokaryote-dominated late-year state,NO3,1.889344
2014-02-01,2014,2,3,Prokaryote-dominated late-year state,NO3,1.489239
2014-03-01,2014,3,3,Prokaryote-dominated late-year state,NO3,1.505233
2014-04-01,2014,4,1,Diatom-associated early-year state,NO3,2.275622
2014-05-01,2014,5,1,Diatom-associated early-year state,NO3,3.260475
2014-06-01,2014,6,2,Mixed-prokaryote mid-year state,NO3,4.427966
2014-07-01,2014,7,2,Mixed-prokaryote mid-year state,NO3,5.575015
2014-08-01,2014,8,2,Mixed-prokaryote mid-year state,NO3,5.411727
